iter	RMSE
0	83.56052795
1	83.54894148
2	83.54142939
3	83.5296805
4	83.51693982
5	83.50621337
6	83.49488651
7	83.48220808
8	83.47087986
9	83.46464195
10	83.45738974
11	83.44823864
12	83.4448548
13	83.43966383
14	83.42493082
15	83.41182215
16	83.39593122
17	83.38761181
18	83.37889888
19	83.3666541
20	83.35622116
21	83.34851659
22	83.3356772
23	83.32617266
24	83.31660355
25	83.30594215
26	83.29937744
27	83.29259407
28	83.28390032
29	83.27537373
30	83.26572839
31	83.26041663
32	83.2502072
33	83.23996445
34	83.22860266
35	83.2193041
36	83.20755933
37	83.19543651
38	83.18458305
39	83.1743512
40	83.16542629
41	83.15598259
42	83.15017972
43	83.1342778
44	83.12480751
45	83.11411555
46	83.10183053
47	83.09553097
48	83.08835539
49	83.07661844
50	83.06632722
51	83.05480648
52	83.04461431
53	83.03236387
54	83.02047361
55	83.01297895
56	83.00664677
57	82.99597877
58	82.98758213
59	82.97636669
60	82.96963866
61	82.95749862
62	82.9432932
63	82.93517624
64	82.92546272
65	82.91433709
66	82.90720084
67	82.89755108
68	82.89036105
69	82.88037873
70	82.87127054
71	82.85821282
72	82.85293415
73	82.84839721
74	82.84190968
75	82.83430369
76	82.82983803
77	82.82306691
78	82.81638632
79	82.80972488
80	82.80169785
81	82.79521524
82	82.78504883
83	82.77129894
84	82.76299287
85	82.75392902
86	82.74618685
87	82.7394617
88	82.72808284
89	82.72454287
90	82.71771977
91	82.70965251
92	82.7039024
93	82.69613176
94	82.69293199
95	82.68395434
96	82.67598943
97	82.66782716
98	82.66193232
99	82.65407591
100	82.64477197
101	82.64084107
102	82.6338676
103	82.62809353
104	82.62285989
105	82.61138881
106	82.60498057
107	82.59843981
108	82.5911086
109	82.58515766
110	82.57716498
111	82.56596283
112	82.56076736
113	82.55155529
114	82.5458798
115	82.53675131
116	82.53091196
117	82.5191836
118	82.5068655
119	82.49295842
120	82.48340758
121	82.47515164
122	82.46926858
123	82.46068463
124	82.45274101
125	82.44791395
126	82.43973425
127	82.43380965
128	82.42216463
129	82.41175793
130	82.40415402
131	82.39477814
132	82.38732725
133	82.38185241
134	82.37490413
135	82.36736406
136	82.35588475
137	82.3469568
138	82.33904436
139	82.32917895
140	82.32360811
141	82.31674724
142	82.30590183
143	82.29921134
144	82.29041535
145	82.27703674
146	82.27055421
147	82.26452222
148	82.25648294
149	82.24872818
150	82.24059891
151	82.23159817
152	82.22604509
153	82.22014687
154	82.21502572
155	82.20652738
156	82.19823485
157	82.19023662
158	82.185468
159	82.17296065
160	82.16108066
161	82.14866926
162	82.13976188
163	82.12887236
164	82.12086994
165	82.11057559
166	82.09961864
167	82.0895017
168	82.08288121
169	82.0742938
170	82.06641599
171	82.05678382
172	82.04748301
173	82.03848383
174	82.02975378
175	82.02017127
176	82.01356089
177	82.00346373
178	81.995411
179	81.98494846
180	81.97061538
181	81.96105568
182	81.9537868
183	81.94002306
184	81.92986214
185	81.92341802
186	81.91389422
187	81.90438454
188	81.89182649
189	81.87919204
190	81.87044769
191	81.85936848
192	81.84241619
193	81.83439005
194	81.82349995
195	81.8142395
196	81.80354276
197	81.79769464
198	81.78838418
199	81.77801083
200	81.76946543
201	81.76119323
202	81.75083129
203	81.74315312
204	81.73306052
205	81.72217608
206	81.71025978
207	81.70027927
208	81.68901677
209	81.6826485
210	81.67597399
211	81.66891704
212	81.66269796
213	81.65608811
214	81.64618971
215	81.63718797
216	81.62775019
217	81.61815018
218	81.61311241
219	81.60472125
220	81.59638454
221	81.58982629
222	81.57816787
223	81.56750666
224	81.55502458
225	81.54760036
226	81.54101054
227	81.5361864
228	81.5289552
229	81.51568821
230	81.50350003
231	81.49849493
232	81.49020234
233	81.4820025
234	81.47531401
235	81.46682958
236	81.45856948
237	81.44783397
238	81.4389086
239	81.43059405
240	81.42448893
241	81.41550122
242	81.40814217
243	81.40232172
244	81.3927214
245	81.38891775
246	81.37876229
247	81.37337287
248	81.36369631
249	81.35833423
250	81.35041992
251	81.3413706
252	81.33346693
253	81.32413398
254	81.31649324
255	81.31064257
256	81.29844408
257	81.28909428
258	81.28205812
259	81.27458889
260	81.26226766
261	81.25053131
262	81.23855846
263	81.22961142
264	81.22522357
265	81.21728188
266	81.20594628
267	81.19751333
268	81.19258113
269	81.18717409
270	81.18025202
271	81.17097895
272	81.16191976
273	81.15364426
274	81.1445928
275	81.13869244
276	81.13326516
277	81.12472058
278	81.11634934
279	81.10756277
280	81.09995908
281	81.09446142
282	81.08783762
283	81.08043676
284	81.07349092
285	81.06456181
286	81.05674771
287	81.04635919
288	81.03498549
289	81.0264658
290	81.01948951
